 #EXTRAS(raw)# Step:           1  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.988326906377053E+03        -0.130781798987426E+02        -0.468330285797594E+03        -0.130547798656190E+02         0.139061387344007E+04         0.701653529638733E+01        -0.468133387299622E+03         0.698896441524625E+01         0.170526200611447E+04
 #EXTRAS(raw)# Step:           2  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.992277139844668E+03        -0.110539087851481E+02        -0.472864318740352E+03        -0.109714701815103E+02         0.138860885602140E+04         0.520658490497869E+00        -0.472626461565348E+03         0.485079760438418E+00         0.170373160193989E+04
 #EXTRAS(raw)# Step:           3  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.991082625710891E+03        -0.164156532025938E+02        -0.473808652934470E+03        -0.163532773012166E+02         0.138147727175669E+04        -0.253664357752833E+01        -0.473592015251945E+03        -0.257658428384387E+01         0.170631809364032E+04
 #EXTRAS(raw)# Step:           4  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.990591310930613E+03        -0.130972578558525E+02        -0.472739050044248E+03        -0.130298106840069E+02         0.138137561165289E+04        -0.265273013489786E+01        -0.472492621452203E+03        -0.268823029072252E+01         0.171595353695570E+04
 #EXTRAS(raw)# Step:           5  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.989727791582268E+03        -0.116006662178594E+02        -0.471216189510249E+03        -0.115568385759891E+02         0.137353703288499E+04        -0.248840495863284E+01        -0.471021219679519E+03        -0.252731348163589E+01         0.171359060850602E+04
 #EXTRAS(raw)# Step:           6  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.998758123176876E+03        -0.107568452668407E+02        -0.469127635870630E+03        -0.106891096661517E+02         0.138546322989481E+04        -0.375777501118347E+00        -0.468931707291623E+03        -0.434203911672704E+00         0.171792187110270E+04
 #EXTRAS(raw)# Step:           7  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.996654184069908E+03        -0.178723590429097E+02        -0.465951581843502E+03        -0.178665920321018E+02         0.136409000747013E+04         0.544101115090665E+01        -0.465759847901416E+03         0.540342099738317E+01         0.171278413608460E+04
 #EXTRAS(raw)# Step:           8  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.998637306708750E+03        -0.117319197982323E+02        -0.457797647333014E+03        -0.117182444307295E+02         0.136702191579093E+04         0.363087760511082E+01        -0.457595368903894E+03         0.358812099438530E+01         0.169337009417104E+04
 #EXTRAS(raw)# Step:           9  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.100697458278038E+04        -0.593234750222142E+01        -0.465841935954439E+03        -0.594868452274831E+01         0.135724930567498E+04         0.472587865646922E+01        -0.465655810584884E+03         0.470121651581262E+01         0.170556278819721E+04
 #EXTRAS(raw)# Step:          10  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.101173798297367E+04        -0.983552880426729E+00        -0.457809222535226E+03        -0.103759016938682E+01         0.136765196176383E+04         0.873294759317000E+01        -0.457619951238458E+03         0.871578916334685E+01         0.170672570042983E+04
 #EXTRAS(raw)# Step:          11  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.101839789015585E+04         0.539088888922940E+01        -0.465369555255055E+03         0.536585916122788E+01         0.134554716673410E+04        -0.881512871279647E+00        -0.465161693581268E+03        -0.886375131884719E+00         0.170602429226818E+04
 #EXTRAS(raw)# Step:          12  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.101508998015836E+04         0.193245730971410E+01        -0.450937198611153E+03         0.190801725583863E+01         0.134670928094403E+04         0.371565848406991E+01        -0.450750839484185E+03         0.367010534503586E+01         0.168679601218889E+04
 #EXTRAS(raw)# Step:          13  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.101821205166157E+04         0.281225394578435E+01        -0.457121988719964E+03         0.282154390496801E+01         0.133477398501951E+04         0.769570573945173E+01        -0.456922648320286E+03         0.766478802608274E+01         0.170299626794771E+04
 #EXTRAS(raw)# Step:          14  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.102334716456196E+04         0.653304160680622E+01        -0.446916792739842E+03         0.651419698895162E+01         0.134731090138648E+04         0.809542673224016E+01        -0.446714904282580E+03         0.809089573519753E+01         0.168709560029859E+04
 #EXTRAS(raw)# Step:          15  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.101973183382468E+04         0.744806753936264E+01        -0.447022098410727E+03         0.736826574014429E+01         0.133078176325787E+04         0.897849955756738E+01        -0.446859635245216E+03         0.899069803354055E+01         0.169113316041201E+04
 #EXTRAS(raw)# Step:          16  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.102257736610624E+04         0.935838198623341E+01        -0.446651333799076E+03         0.928825057663609E+01         0.133675090531037E+04         0.134435139322697E+01        -0.446514323753242E+03         0.130630861693666E+01         0.169837191543231E+04
 #EXTRAS(raw)# Step:          17  Bead:      0  
  
