 #EXTRAS(raw)# Step:           1  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.978408702320915E+03         0.109993870076833E+02        -0.443058762150276E+03         0.109918792083584E+02         0.136362914047023E+04         0.110597586525380E+02        -0.442851753473899E+03         0.110313859616769E+02         0.171984183332399E+04
 #EXTRAS(raw)# Step:           2  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.977259234461863E+03         0.514961817936470E+01        -0.436790322857954E+03         0.513791032399640E+01         0.136186544567356E+04         0.699379912060026E+01        -0.436552595206332E+03         0.698531507149855E+01         0.170890527070641E+04
 #EXTRAS(raw)# Step:           3  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.977339736188959E+03         0.389283693933295E+01        -0.440257837529404E+03         0.386990157062803E+01         0.134776151434455E+04         0.423210315945935E+01        -0.440032995716650E+03         0.422892007667610E+01         0.170980861641711E+04
 #EXTRAS(raw)# Step:           4  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.986804035965126E+03         0.793159323183858E+01        -0.441647312556763E+03         0.797849191039692E+01         0.135724707607768E+04         0.797172199221678E+00        -0.441398819766928E+03         0.764006826174925E+00         0.171045622257213E+04
 #EXTRAS(raw)# Step:           5  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.988034673508333E+03         0.143888460857408E+01        -0.440164504825640E+03         0.150618666633955E+01         0.135262321074910E+04        -0.489625980405442E+01        -0.439913350153096E+03        -0.494537401839633E+01         0.169985450475394E+04
 #EXTRAS(raw)# Step:           6  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.993159233305538E+03        -0.426813784887536E+01        -0.444534422669813E+03        -0.422313797933242E+01         0.135017537213059E+04        -0.438670576536316E+01        -0.444303324581648E+03        -0.441651565811916E+01         0.170311976087215E+04
 #EXTRAS(raw)# Step:           7  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.999276754266281E+03        -0.117953333841361E+02        -0.446955858304875E+03        -0.117452695257478E+02         0.134724245994269E+04        -0.127545164431127E+01        -0.446726402908787E+03        -0.131685452857296E+01         0.168916555822467E+04
 #EXTRAS(raw)# Step:           8  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.100953104981847E+04        -0.144148523678036E+02        -0.455273352029153E+03        -0.143324506033922E+02         0.134730559673899E+04        -0.164738993040924E+01        -0.455046766946425E+03        -0.167707512068778E+01         0.170068913941870E+04
 #EXTRAS(raw)# Step:           9  Bead:      0  
  
