 #EXTRAS(raw)# Step:           1  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.100627585863627E+04        -0.296759215055437E+00        -0.451654356725793E+03        -0.266076799159079E+00         0.134752968799322E+04        -0.982382462657218E+01        -0.451411426411380E+03        -0.977741842513386E+01         0.169111589214752E+04
 #EXTRAS(raw)# Step:           2  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.100456444946300E+04         0.739573219683194E+01        -0.448387157511311E+03         0.740515546690346E+01         0.134646250054984E+04        -0.117658777147693E+02        -0.448123764044409E+03        -0.117558185756813E+02         0.169673387141119E+04
 #EXTRAS(raw)# Step:           3  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.100412125430773E+04         0.114058427179591E+02        -0.449562963081373E+03         0.114103794573128E+02         0.134935235227891E+04        -0.101689585663246E+02        -0.449334289319506E+03        -0.101527539245305E+02         0.170306080275192E+04
 #EXTRAS(raw)# Step:           4  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.997776211677572E+03         0.136499400924095E+02        -0.447507853792886E+03         0.136689044884521E+02         0.135342349612580E+04        -0.632425954969204E+01        -0.447288274936130E+03        -0.629064489309048E+01         0.171402859887410E+04
 #EXTRAS(raw)# Step:           5  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.994202203815191E+03         0.141190597178333E+02        -0.446360944794573E+03         0.141179811848005E+02         0.135644331389259E+04        -0.281953903744486E+00        -0.446128399329417E+03        -0.269370958527556E+00         0.170988645032606E+04
 #EXTRAS(raw)# Step:           6  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.993531752494965E+03         0.169252943788307E+02        -0.447460035614476E+03         0.168541874956338E+02         0.135703086681437E+04        -0.161547273492442E+01        -0.447257816063775E+03        -0.158566967978261E+01         0.170824119384827E+04
 #EXTRAS(raw)# Step:           7  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.988316528006228E+03         0.179942426322479E+02        -0.443204703539185E+03         0.179540859600222E+02         0.136167097117212E+04        -0.154403825077063E+01        -0.443034532386262E+03        -0.153369392220838E+01         0.170771743680361E+04
 #EXTRAS(raw)# Step:           8  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.984757591116646E+03         0.252749191740107E+02        -0.447950881112031E+03         0.252341620251860E+02         0.135863792250418E+04        -0.383512050588380E+01        -0.447775770180966E+03        -0.382905762466681E+01         0.171790975932871E+04
 #EXTRAS(raw)# Step:           9  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.988817564603765E+03         0.266469915417739E+02        -0.449352917577873E+03         0.265864365290390E+02         0.137379198539302E+04        -0.845715693550993E+01        -0.449161648974776E+03        -0.844013732817394E+01         0.172723819055999E+04
 #EXTRAS(raw)# Step:          10  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.980013214987485E+03         0.219957607704788E+02        -0.449793525389811E+03         0.219205056848821E+02         0.135462570249402E+04        -0.835701904576109E+01        -0.449664739719875E+03        -0.834828902157827E+01         0.173482105929885E+04
 #EXTRAS(raw)# Step:          11  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.978697891498605E+03         0.232277374821651E+02        -0.445955681129176E+03         0.231721903856509E+02         0.136362562921534E+04        -0.539066304635865E+01        -0.445860260815238E+03        -0.539270252145290E+01         0.173011987878416E+04
 #EXTRAS(raw)# Step:          12  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.978109188625923E+03         0.139465486116949E+02        -0.450992949159915E+03         0.139431014843168E+02         0.135499612451301E+04        -0.421281261555942E+00        -0.450853098154322E+03        -0.439653799348281E+00         0.173326463756564E+04
 #EXTRAS(raw)# Step:          13  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.981962123558964E+03         0.125909407937979E+02        -0.447814367784266E+03         0.125917048077182E+02         0.137474973263898E+04        -0.175056939095308E+01        -0.447634692809785E+03        -0.175873138008156E+01         0.173473302366893E+04
 #EXTRAS(raw)# Step:          14  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.985619855139476E+03         0.800836669938406E+01        -0.457614054455476E+03         0.796925778164774E+01         0.135952788213346E+04        -0.271627477099275E+01        -0.457466975312684E+03        -0.273407948530505E+01         0.173035366651756E+04
 #EXTRAS(raw)# Step:          15  Bead:      0  
  
| Total Polarizability    (Bohr^3)    :          0.987591970202167E+03         0.791046421891318E+01        -0.453195265217005E+03         0.791337531703754E+01         0.136809426560875E+04        -0.104824967187048E+02        -0.453057951096727E+03        -0.105111517596507E+02         0.171594773572385E+04
 #EXTRAS(raw)# Step:          16  Bead:      0  
  
